asdf_id,srtm_elevation_500m.none.mean,srtm_elevation_500m.none.max,srtm_elevation_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
217,144.5625447,179,126,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,151.8303521,221,126,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,161.4142842,195,115,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,263.5713479,327,212,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,212.2651814,301,126,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,148.2332811,193,118,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,189.9477314,255,135,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,186.3925409,235,120,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,169.1018797,205,111,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,148.3578511,208,104,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,155.5551041,207,112,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,154.3100697,206,97,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,142.7289041,220,91,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,3989.273345,4312,3815,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,3879.325768,4258,3815,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
232,3818.605882,4452,3140,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,282.7824858,352,206,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,241.1005749,336,155,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,826.4866741,2076,337,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,1351.80562,2287,513,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
237,3928.812635,4214,3815,ADM3,237,237,BOL,BOL-ADM3-33444609B8469227,Huarina,ADM3
238,4123.329559,4746,3551,ADM3,238,238,BOL,BOL-ADM3-33444609B76614989,Bolivar,ADM3
239,4062.36804,4493,3815,ADM3,239,239,BOL,BOL-ADM3-33444609B43692068,Chua Cocani,ADM3
240,4211.184732,4621,3859,ADM3,240,240,BOL,BOL-ADM3-33444609B78666461,Humanata,ADM3
241,1159.260577,2205,524,ADM3,241,241,BOL,BOL-ADM3-33444609B92881157,Villa Vaca Guzmán,ADM3
242,4415.469279,6010,3824,ADM3,242,242,BOL,BOL-ADM3-33444609B42689736,Batallas,ADM3
243,1786.503064,3044,669,ADM3,243,243,BOL,BOL-ADM3-33444609B75760336,Padilla,ADM3
