asdf_id,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
193,8154.08447266,3719.31005859,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,23400.4296875,4231.62011719,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,185802.546875,1497.89001465,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,5367.34863281,81.2200012207,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,5755.47314453,1391.58996582,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,4904.73535156,385.619995117,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,6915.91015625,735.950012207,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,7266.16357422,1002.20996094,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,9943.23046875,544.790039062,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,12528.9785156,805.700012207,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,8259.75878906,1015.89001465,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,14662.8369141,1078.23999023,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,18837.8945312,1353.18994141,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,11859.1660156,822.530029297,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,3525.25976562,718.459960938,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,7356.80566406,2981.73022461,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,28546.6171875,4560.75,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,24815.4375,17254.5917969,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,20926.8984375,3065.68017578,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,9581.54101562,3600.68994141,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,25603.296875,25769.9199219,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,28570.0546875,10682.5898438,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,13381.5917969,14382.8398438,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,9904.05859375,1528.28991699,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,951.376831055,2518.47998047,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,6391.34082031,29923.8007812,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,95649.953125,15330.4306641,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,9912.49121094,1298.36010742,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,5272.46386719,6270.01025391,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,4088.12597656,3174.43017578,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,6980.52197266,6299.75,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,3801.15917969,5275.72998047,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,2104.42553711,6467.89990234,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,42003.5351562,7784.84033203,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,3780.42211914,3377.08007812,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,3271.31030273,7881.43994141,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,2805.01806641,4349.01953125,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,6149.83544922,118.180000305,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,3403.73901367,88.1800003052,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
232,10400.6767578,328.799987793,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,3353.09106445,2969.12011719,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,6998.35742188,14088.1894531,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,13201.0332031,1282.34997559,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,41674.9492188,1901.12011719,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
