asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
146,0.528805123192,4.02335834503,0.0,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,0.569395610207,3.52361798286,0.0,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,0.215118164212,1.67414021492,0.0,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,13.0496996285,33.670135498,0.450974673033,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,4.15317741518,20.1675643921,0.030937243253,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,3.09330526386,25.7904415131,0.030937243253,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,1.75675101963,15.9986085892,0.0,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,17.6777682381,37.3301544189,0.934457540512,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,17.8883775381,41.899936676,0.406909108162,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,4.39123377002,7.69321584702,0.679532051086,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,2.30154250588,14.4772157669,0.0218759346753,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,14.296006974,35.8286933899,0.153131186962,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,17.1356975953,45.8962020874,0.735329568386,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,5.09634374946,21.2474632263,0.117805354297,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,2.97718765531,37.943145752,0.0978320688009,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,22.4724319865,53.7337837219,0.117805354297,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,10.0470729383,30.2910671234,0.127557322383,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,4.45511560786,19.1434574127,0.0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,3.59684627025,20.1521778107,0.0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,3.98702743053,21.6524372101,0.0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,9.67405125554,16.2145347595,1.12916922569,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,3.92821755732,40.686416626,0.0,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,15.5222587688,31.5450077057,0.43586653471,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,19.1554264813,46.3435173035,0.315496057272,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
