asdf_id,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
202,12700.0067169,33948.2396059,0.0,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,37538.2397979,47877.2473325,19978.4918153,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,30260.7110118,52628.8353838,0.0,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,25707.9031777,41991.3432864,0.0,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,35929.8391935,45783.7773519,21915.4812966,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,69564.4714853,98629.656439,45912.7952069,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,79106.0020835,115910.754036,40065.8754134,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,14239.9019521,41969.7386396,0.0,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,63750.6083221,157737.900739,0.0,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,26685.5768042,56603.419266,0.0,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,22087.2734656,57610.0383626,0.0,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,78274.7027672,131245.959309,0.0,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,64489.7154476,110703.383209,12611.0654169,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
