asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
123,27386.767366,32203.1069587,24580.9810069,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,33738.3769811,39951.4219827,29196.4247699,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,106281.505012,124340.232449,92095.5429806,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,172145.157486,206171.245676,139575.934658,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,172516.063376,225251.979859,116887.05,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,55013.9765935,63812.7936523,43067.8479229,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,128460.956818,158245.917984,106038.94323,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,52637.7980968,63117.6733089,38492.2188447,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,34545.1613141,42308.1441483,26129.2598148,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,154566.722609,164600.899283,145669.41995,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,101238.797686,113547.42,86830.38,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,99672.2425086,123173.676005,75007.3522481,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,40604.090514,52649.9385703,28271.9938104,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,108699.982314,142392.794883,67734.2864983,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,179554.682091,196755.723819,163701.664554,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,57352.0765248,82377.54,36735.93,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,141437.432094,203950.085153,100851.296691,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,19004.9162613,26115.5728692,10755.7347712,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,23107.6060325,30731.8701837,14582.9752859,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,73908.781818,96949.385549,42774.1072585,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,63377.6328526,75335.083674,47068.5533217,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,56662.1589575,69954.7332134,39302.3108392,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,156641.248896,190962.748749,127798.85959,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,166781.20962,227550.907489,106663.536474,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,231851.024306,288361.00891,184667.23628,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,178396.362891,271587.209443,75434.1569762,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,31911.2045658,45641.61,17811.36,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,68432.5651661,81578.7275664,57167.415223,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,38419.6133803,53539.079609,23912.706492,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,42872.2816406,63532.860927,24570.7123753,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,15417.9669487,24746.0201107,6412.13547045,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,15706.4308855,40717.0337367,0.0,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,72153.6112654,75811.687825,69401.5503906,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,52111.1686435,69084.7932463,27765.9089287,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,15156.0608296,27599.2072819,3080.18726172,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,5102.11065658,21009.6990567,0.0,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,21845.8677266,30004.5591961,14424.5748493,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,22826.767196,33958.4189991,13870.4110788,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,0.0,0.0,0.0,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,92240.8885977,121031.816399,63923.0517625,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,106373.739094,112485.785221,100335.978808,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,86220.7256998,110683.229449,59085.3730638,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,89870.2772454,103133.47572,79604.5515672,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,100849.921709,103618.526277,97171.9889466,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,43658.8877138,76867.4909325,14943.4717823,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,78561.5532625,84381.6870858,71237.3610018,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
