esaLandCover2012_grassland,esaLandCover2012_count,esaLandCover2012_sparse_vegetation,esaLandCover2012_bare_areas,esaLandCover2012_shrubland,esaLandCover2012_no_data,esaLandCover2012_rainfed_cropland,esaLandCover2012_water_bodies,esaLandCover2012_forest,esaLandCover2012_wetland,esaLandCover2012_mosaic_cropland,esaLandCover2012_irrigated_cropland,esaLandCover2012_snow_ice,esaLandCover2012_urban,esaLandCover2013_grassland,esaLandCover2013_count,esaLandCover2013_sparse_vegetation,esaLandCover2013_bare_areas,esaLandCover2013_shrubland,esaLandCover2013_no_data,esaLandCover2013_rainfed_cropland,esaLandCover2013_water_bodies,esaLandCover2013_forest,esaLandCover2013_wetland,esaLandCover2013_mosaic_cropland,esaLandCover2013_irrigated_cropland,esaLandCover2013_snow_ice,esaLandCover2013_urban,esaLandCover2014_grassland,esaLandCover2014_count,esaLandCover2014_sparse_vegetation,esaLandCover2014_bare_areas,esaLandCover2014_shrubland,esaLandCover2014_no_data,esaLandCover2014_rainfed_cropland,esaLandCover2014_water_bodies,esaLandCover2014_forest,esaLandCover2014_wetland,esaLandCover2014_mosaic_cropland,esaLandCover2014_irrigated_cropland,esaLandCover2014_snow_ice,esaLandCover2014_urban,esaLandCover2015_grassland,esaLandCover2015_count,esaLandCover2015_sparse_vegetation,esaLandCover2015_bare_areas,esaLandCover2015_shrubland,esaLandCover2015_no_data,esaLandCover2015_rainfed_cropland,esaLandCover2015_water_bodies,esaLandCover2015_forest,esaLandCover2015_wetland,esaLandCover2015_mosaic_cropland,esaLandCover2015_irrigated_cropland,esaLandCover2015_snow_ice,esaLandCover2015_urban,esaLandCover2016_grassland,esaLandCover2016_count,esaLandCover2016_sparse_vegetation,esaLandCover2016_bare_areas,esaLandCover2016_shrubland,esaLandCover2016_no_data,esaLandCover2016_rainfed_cropland,esaLandCover2016_water_bodies,esaLandCover2016_forest,esaLandCover2016_wetland,esaLandCover2016_mosaic_cropland,esaLandCover2016_irrigated_cropland,esaLandCover2016_snow_ice,esaLandCover2016_urban,id
8345,14354,4681,879,428,0,5,0,4,0,11,0,0,1,8326,14354,4700,879,428,0,5,0,4,0,11,0,0,1,8318,14354,4706,881,428,0,5,0,4,0,11,0,0,1,8318,14354,4706,881,428,0,5,0,4,0,11,0,0,1,8271,14354,4742,877,428,0,6,0,4,0,25,0,0,1,145
885,80907,0,0,7,0,0,554,79067,227,158,0,0,9,885,80907,0,0,7,0,0,554,79067,227,158,0,0,9,885,80907,0,0,7,0,0,554,79067,227,158,0,0,9,885,80907,0,0,7,0,0,554,79067,227,158,0,0,9,879,80907,0,0,7,0,0,554,79076,225,157,0,0,9,146
605,34086,0,0,6,0,0,1058,32008,302,97,0,0,10,605,34086,0,0,6,0,0,1058,32008,302,97,0,0,10,605,34086,0,0,6,0,0,1058,32008,302,97,0,0,10,605,34086,0,0,6,0,0,1058,32008,302,97,0,0,10,605,34086,0,0,6,0,0,1058,32010,300,97,0,0,10,147
28060,102723,0,0,391,0,30,3458,49003,18834,2947,0,0,0,28056,102723,0,0,391,0,30,3458,49003,18838,2947,0,0,0,28058,102723,0,0,391,0,30,3458,49001,18838,2947,0,0,0,28058,102723,0,0,391,0,30,3458,49001,18838,2947,0,0,0,27555,102723,0,0,391,0,30,3458,49792,18617,2880,0,0,0,148
1250,3856,606,81,1544,0,9,27,136,4,131,0,63,5,1250,3856,606,81,1543,0,9,27,136,4,131,0,63,6,1250,3856,606,81,1542,0,9,27,136,4,131,0,63,7,1250,3856,606,81,1542,0,9,27,136,4,131,0,63,7,1235,3856,621,81,1542,0,9,27,136,4,131,0,63,7,149
3466,4945,502,21,672,0,247,0,6,0,31,0,0,0,3473,4945,512,21,672,0,247,0,6,0,14,0,0,0,3473,4945,512,21,672,0,247,0,6,0,14,0,0,0,3473,4945,512,21,672,0,247,0,6,0,14,0,0,0,3475,4945,512,21,672,0,247,0,6,0,12,0,0,0,150
455,5279,2065,1788,256,0,5,0,18,0,692,0,0,0,473,5279,2048,1787,256,0,5,0,18,0,692,0,0,0,493,5279,2028,1787,256,0,5,0,18,0,692,0,0,0,493,5279,2028,1787,256,0,5,0,18,0,692,0,0,0,541,5279,1991,1746,256,0,5,0,18,0,722,0,0,0,151
3517,9321,1011,967,551,0,81,25,4,0,3135,0,0,30,3562,9321,940,997,551,0,81,25,4,0,3120,0,0,41,3900,9321,598,978,551,0,81,25,4,0,3125,0,0,59,3892,9321,594,975,551,0,81,25,4,0,3125,0,0,74,3892,9321,594,970,551,0,81,25,4,0,3130,0,0,74,152
0,2160,0,0,8,0,0,0,1987,0,165,0,0,0,0,2160,0,0,8,0,0,0,1987,0,165,0,0,0,0,2160,0,0,8,0,0,0,1987,0,165,0,0,0,0,2160,0,0,8,0,0,0,1987,0,165,0,0,0,0,2160,0,0,8,0,0,0,1988,0,164,0,0,0,153
781,10961,66,84,3087,0,207,22,5310,76,936,0,369,23,781,10961,66,84,3087,0,207,22,5310,76,936,0,368,24,753,10961,65,82,3072,0,216,22,5335,74,943,0,364,35,753,10961,65,82,3072,0,216,22,5335,74,943,0,364,35,750,10961,65,82,3065,0,216,22,5362,74,926,0,364,35,154
19,214,35,0,143,0,5,3,0,6,3,0,0,0,19,214,35,0,143,0,5,3,0,6,3,0,0,0,19,214,35,0,143,0,5,3,0,6,3,0,0,0,19,214,35,0,143,0,5,3,0,6,3,0,0,0,19,214,35,0,143,0,5,3,0,6,3,0,0,0,155
