map_pf_incidence_rate.2012.mean,map_pf_incidence_rate.2013.mean,map_pf_incidence_rate.2014.mean,map_pf_incidence_rate.2015.mean,map_pf_incidence_rate.2016.mean,map_pf_incidence_rate.2017.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2019.mean,id
2.56e-05,0.000169148,2.39e-05,1.69e-06,1.41e-07,1.44e-07,0.0,3.89e-07,251
4.08e-06,6.23e-08,2.27e-06,8.72e-08,6.08e-09,3.3e-09,0.0,1.35e-08,252
3.91e-06,0.0,1.57e-06,3.26e-08,1.87e-09,1.1e-09,0.0,4.32e-09,253
3.38e-08,3.83e-07,7.69e-09,8.87e-11,4.04e-12,2.89e-12,0.0,1.22e-11,254
1.29e-07,1.39e-06,3.68e-08,5.52e-10,2.83e-11,1.82e-11,0.0,7.69e-11,255
2.27e-06,0.0,1.27e-06,3.66e-08,2.24e-09,1.25e-09,0.0,5.09e-09,256
6.81e-07,0.0,3.51e-07,4.63e-09,1.95e-10,1.37e-10,0.0,5.62e-10,257
6.53e-07,0.0,3.76e-07,6.07e-09,2.74e-10,1.95e-10,0.0,8.1e-10,258
4.97e-06,0.0,3.44e-06,1.42e-07,9.55e-09,7.08e-09,0.0,2.53e-08,259
6.77e-06,0.0,4.68e-06,1.45e-07,8.12e-09,6.14e-09,0.0,2.22e-08,260
0.001039155,0.000120989,0.001961428,0.000925373,0.000134758,0.000127553,0.0,0.00039273,261
2.03e-05,0.0,1.93e-05,8.83e-07,4.96e-08,4.07e-08,0.0,1.39e-07,262
1.52e-05,0.0,1.12e-05,3.76e-07,1.69e-08,1.41e-08,0.0,4.98e-08,263
2.17e-05,0.0,1.85e-05,7.85e-07,3.42e-08,3.02e-08,0.0,1.06e-07,264
2e-05,0.0,1.18e-05,3.77e-07,1.64e-08,1.35e-08,0.0,4.87e-08,265
0.000921884,0.00404441,0.001357307,0.00031779,3.48e-05,3.27e-05,0.0,0.000101931,266
0.001531817,0.006584847,0.002105563,0.000420169,4.34e-05,4.07e-05,0.0,0.000125916,267
3.16e-05,0.000249213,3.57e-05,3.9e-06,3.33e-07,2.18e-07,0.0,7.7e-07,268
0.000181509,0.001154497,0.000146643,9.38e-06,6.81e-07,5.94e-07,0.0,1.82e-06,269
1.36e-05,0.0,8.33e-06,2.96e-07,2.31e-08,1.48e-08,0.0,6.11e-08,270
0.00024206,4.23e-05,0.000411063,8.35e-05,7.88e-06,8.09e-06,0.0,2.27e-05,271
0.000961039,0.004560542,0.002327241,0.001473441,0.000249131,0.000232118,0.0,0.00070563,272
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273
2.13e-07,5.71e-06,2.02e-07,3.39e-09,1.5e-10,1.09e-10,0.0,4.27e-10,274
2.61e-05,0.0,2.81e-05,1.54e-06,9.79e-08,8.07e-08,0.0,2.74e-07,275
1.5e-05,0.0,1.25e-05,5.12e-07,3.01e-08,2.52e-08,0.0,8.36e-08,276
2.47e-05,0.0,2.24e-05,1.04e-06,5.99e-08,5.15e-08,0.0,1.7e-07,277
1.06e-05,0.0,7.57e-06,2.85e-07,1.59e-08,1.24e-08,0.0,4.53e-08,278
6.48e-05,0.0,7.96e-05,5.69e-06,3.49e-07,3.14e-07,0.0,1.04e-06,279
4.14e-05,0.0,4.21e-05,2.37e-06,1.41e-07,1.23e-07,0.0,4.09e-07,280
7.71e-07,0.0,4e-07,5.76e-09,2.5e-10,1.7e-10,0.0,6.53e-10,281
1.31e-06,0.0,8.19e-07,1.95e-08,9.97e-10,6.4e-10,0.0,2.42e-09,282
0.00027854,0.001474977,0.000246584,2.07e-05,1.59e-06,1.49e-06,0.0,4.49e-06,283
1.44e-05,0.0,1.14e-05,4.1e-07,2.33e-08,1.89e-08,0.0,6.49e-08,284
7.38e-05,0.0,4.85e-05,2.74e-06,1.89e-07,1.9e-07,2.97e-08,1.36e-06,285
3.52e-05,0.0,1.99e-05,8.13e-07,4.23e-08,3.43e-08,0.0,1.32e-07,286
2.23e-05,0.0,1.15e-05,3.45e-07,1.59e-08,1.22e-08,0.0,4.73e-08,287
0.000208571,0.0,0.00018372,1.88e-05,1.7e-06,1.45e-06,7.53e-08,5.47e-06,288
9.06e-06,0.0,4.5e-06,1.11e-07,5.68e-09,4.28e-09,0.0,1.54e-08,289
