,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
191,7.42e-05,0.0,3e-05,1.48e-06,1.19e-07,5.66e-08,0.0,2.46e-07,191
192,0.00049505,0.001470841,0.0,0.0,0.0,0.0,0.0,0.0,192
193,5.51e-05,0.0,2.31e-05,1e-06,7.25e-08,3.77e-08,0.0,1.58e-07,193
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
197,1.13e-05,0.0,4.44e-06,1.2e-07,8.01e-09,3.9e-09,0.0,1.7e-08,197
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
207,1.19e-05,9.26e-05,0.0,0.0,0.0,0.0,0.0,0.0,207
208,4.85e-05,0.000259717,0.0,0.0,0.0,0.0,0.0,0.0,208
209,0.000158576,0.000690557,0.000212001,2.91e-05,2.53e-06,2.32e-06,0.0,7.11e-06,209
210,0.000405414,0.001756311,0.000334353,7.75e-05,7.45e-06,6.29e-06,8.13e-11,2.09e-05,210
211,0.000183054,0.0007646,0.000334353,7.75e-05,7.45e-06,6.29e-06,0.0,2.09e-05,211
212,0.002002636,0.005993822,0.000334353,7.75e-05,7.45e-06,6.29e-06,0.0,2.09e-05,212
213,0.005949478,0.023606384,0.015927728,0.009094458,0.001084534,0.001090132,0.0,0.003292101,213
214,0.001388962,0.003748431,0.001518885,0.000317854,3.43e-05,3.36e-05,0.0,9.71e-05,214
215,0.010903892,0.022159019,0.017749822,0.015694048,0.003312533,0.002886565,0.0,0.008535339,215
216,0.001967484,0.0078805,0.002124054,0.000304226,2.88e-05,2.44e-05,0.0,7.83e-05,216
217,0.019545583,0.062688373,0.044070147,0.025627432,0.003788144,0.003315099,0.0,0.010897342,217
218,0.01678649,0.05752724,0.04282064,0.028178222,0.004161246,0.003729567,0.0,0.012063982,218
